em1,em2,em3,Modifiability,Maintainability,SQC,repository,version
0.7142857142857143,0.0,1.0,0.41463207787145456,0.41463207787145456,0.41463207787145456,Users,v0.1
0.7142857142857143,0.0,1.0,0.41463207787145456,0.41463207787145456,0.41463207787145456,Users,v0.2
0.7142857142857143,0.0,1.0,0.41463207787145456,0.41463207787145456,0.41463207787145456,Users,v0.3
0.7142857142857143,0.0,1.0,0.41463207787145456,0.41463207787145456,0.41463207787145456,Users,v0.3.0
0.75,0.0,1.0,0.42174999999999996,0.42174999999999996,0.42174999999999996,Users,v0.3.1
0.7777777777777778,0.0,1.0,0.4274390982538324,0.4274390982538324,0.4274390982538324,Users,v0.3.2
0.7777777777777778,0.0,1.0,0.4274390982538324,0.4274390982538324,0.4274390982538324,Users,v1.0.0
0.6363636363636364,0.0,1.0,0.399923434820977,0.399923434820977,0.399923434820977,Users,v1.0.1
0.6363636363636364,0.0,1.0,0.399923434820977,0.399923434820977,0.399923434820977,Users,v1.0.2
0.75,0.0,0.75,0.3578667419585117,0.3578667419585117,0.3578667419585117,Sectors,v0.1.0
0.7777777777777778,0.0,0.7777777777777778,0.3711210657347529,0.3711210657347529,0.3711210657347529,Sectors,v0.1.1
0.75,0.0,0.75,0.3578667419585117,0.3578667419585117,0.3578667419585117,Sectors,v1.0
0.75,0.0,0.75,0.3578667419585117,0.3578667419585117,0.3578667419585117,Sectors,v1.0.0
0.75,0.0,1.0,0.42174999999999996,0.42174999999999996,0.42174999999999996,Sectors,v1.0.1
0.75,0.0,1.0,0.42174999999999996,0.42174999999999996,0.42174999999999996,Sectors,v1.1.0
0.6666666666666666,0.0,1.0,0.4055043334471833,0.4055043334471833,0.4055043334471833,Sectors,v1.1.1
0.6666666666666666,0.0,0.9710144927536232,0.3974041504176398,0.3974041504176398,0.3974041504176398,Frontend,v0.1
0.6666666666666666,0.0,0.9710144927536232,0.3974041504176398,0.3974041504176398,0.3974041504176398,Frontend,v0.10.0
0.6666666666666666,0.0,0.9710144927536232,0.3974041504176398,0.3974041504176398,0.3974041504176398,Frontend,v0.10.1
0.6495726495726496,0.0,0.9658119658119658,0.3927106103836845,0.3927106103836845,0.3927106103836845,Frontend,v0.10.2
0.6470588235294118,0.0,0.9831932773109243,0.3971234035499026,0.3971234035499026,0.3971234035499026,Frontend,v0.11.0
0.6470588235294118,0.0,0.9831932773109243,0.3971234035499026,0.3971234035499026,0.3971234035499026,Frontend,v0.11.1
0.6470588235294118,0.0,0.9831932773109243,0.3971234035499026,0.3971234035499026,0.3971234035499026,Frontend,v0.12.0
0.65,0.0,0.9833333333333333,0.3977092312788885,0.3977092312788885,0.3977092312788885,Frontend,v0.13.0
0.65,0.0,0.9833333333333333,0.3977092312788885,0.3977092312788885,0.3977092312788885,Frontend,v0.14.0
0.6611570247933884,0.0,0.9752066115702479,0.3975248670968713,0.3975248670968713,0.3975248670968713,Frontend,v0.14.1
0.6666666666666666,0.0,0.9710144927536232,0.3974041504176398,0.3974041504176398,0.3974041504176398,Frontend,v0.2
